Plane	Strip	DtLR_Shift
=====================================================
0	0	-666
0	1	0.134277
0	2	0.0610352
0	3	-0.0854492
0	4	0.0854492
0	5	0.158691
0	6	0.0610352
0	7	0.0366211
0	8	0.158691
0	9	0.109863
0	10	-0.109863
0	11	0.183105
0	12	0.158691
0	13	0.158691
0	14	0.0854492
0	15	-0.012207
0	16	0.158691
0	17	0.20752
0	18	0.231934
0	19	0.0854492
0	20	0.109863
0	21	0.109863
0	22	0.0610352
0	23	0.305176
0	24	0.0610352
0	25	0.0854492
0	26	-0.0854492
0	27	0.0854492
0	28	0.134277
0	29	-0.012207
0	30	0.20752
0	31	0.134277
0	32	0.158691
0	33	0.0366211
0	34	0.109863
0	35	-0.012207
0	36	-0.0610352
0	37	-0.109863
0	38	-0.0854492
0	39	-0.0610352
0	40	0.231934
0	41	0.0854492
0	42	0.0854492
0	43	0.0610352
0	44	0.231934
0	45	-0.0854492
0	46	-0.134277
0	47	-99.0112
1	0	-666
1	1	0.0854492
1	2	-0.109863
1	3	-0.012207
1	4	0.109863
1	5	-0.012207
1	6	0.158691
1	7	-0.012207
1	8	0.134277
1	9	-0.0610352
1	10	0.0366211
1	11	-0.134277
1	12	-0.0610352
1	13	-0.0854492
1	14	-0.109863
1	15	-0.012207
1	16	0.158691
1	17	-0.0610352
1	18	-0.012207
1	19	-0.0610352
1	20	0.0610352
1	21	-0.158691
1	22	-0.20752
1	23	0.012207
1	24	-0.012207
1	25	0.0610352
1	26	0.012207
1	27	-0.158691
1	28	-0.0610352
1	29	-0.0610352
1	30	0.0366211
1	31	-0.0854492
1	32	-0.0854492
1	33	-0.0854492
1	34	-0.134277
1	35	-0.0366211
1	36	-0.0854492
1	37	-0.0854492
1	38	-0.0610352
1	39	-0.109863
1	40	0.0610352
1	41	-0.109863
1	42	0.0854492
1	43	0.012207
1	44	0.0854492
1	45	0.0610352
1	46	-0.012207
1	47	-99.0112
2	0	-666
2	1	2.06299
2	2	2.06299
2	3	1.81885
2	4	2.06299
2	5	1.98975
2	6	2.0874
2	7	1.98975
2	8	2.03857
2	9	2.01416
2	10	2.0874
2	11	2.0874
2	12	1.94092
2	13	1.96533
2	14	2.47803
2	15	1.94092
2	16	2.03857
2	17	1.9165
2	18	1.96533
2	19	1.98975
2	20	2.0874
2	21	1.89209
2	22	1.98975
2	23	1.98975
2	24	2.35596
2	25	2.30713
2	26	2.16064
2	27	2.16064
2	28	2.2583
2	29	2.16064
2	30	2.38037
2	31	2.01416
2	32	2.45361
2	33	2.38037
2	34	2.30713
2	35	2.18506
2	36	2.18506
2	37	2.28271
2	38	2.20947
2	39	2.16064
2	40	2.40479
2	41	2.18506
2	42	2.28271
2	43	2.30713
2	44	2.35596
2	45	2.18506
2	46	2.16064
2	47	-99.0112
3	0	-666
3	1	6.67725
3	2	6.67725
3	3	6.48193
3	4	6.62842
3	5	6.62842
3	6	6.79932
3	7	6.62842
3	8	6.75049
3	9	6.65283
3	10	6.604
3	11	6.70166
3	12	6.70166
3	13	6.57959
3	14	6.604
3	15	6.55518
3	16	6.87256
3	17	6.67725
3	18	6.87256
3	19	6.75049
3	20	6.75049
3	21	6.84814
3	22	6.70166
3	23	6.65283
3	24	6.57959
3	25	6.604
3	26	6.55518
3	27	6.40869
3	28	6.48193
3	29	6.45752
3	30	6.57959
3	31	6.45752
3	32	6.72607
3	33	6.62842
3	34	6.57959
3	35	6.65283
3	36	6.55518
3	37	6.43311
3	38	6.45752
3	39	6.50635
3	40	6.38428
3	41	6.33545
3	42	6.57959
3	43	6.45752
3	44	6.55518
3	45	6.53076
3	46	6.53076
3	47	-99.0112
4	0	-666
4	1	6.65283
4	2	6.55518
4	3	6.45752
4	4	6.57959
4	5	6.43311
4	6	6.62842
4	7	6.48193
4	8	6.62842
4	9	6.70166
4	10	6.55518
4	11	6.50635
4	12	6.48193
4	13	6.53076
4	14	6.53076
4	15	6.45752
4	16	6.57959
4	17	6.50635
4	18	6.53076
4	19	6.53076
4	20	6.57959
4	21	6.62842
4	22	6.50635
4	23	6.62842
4	24	6.38428
4	25	6.55518
4	26	6.45752
4	27	6.35986
4	28	6.45752
4	29	6.38428
4	30	6.43311
4	31	6.33545
4	32	6.604
4	33	6.43311
4	34	6.40869
4	35	6.40869
4	36	6.53076
4	37	6.45752
4	38	6.43311
4	39	6.53076
4	40	6.53076
4	41	6.43311
4	42	6.604
4	43	6.48193
4	44	6.7749
4	45	6.53076
4	46	6.48193
4	47	-99.0112
5	0	-666
5	1	-0.183105
5	2	-0.0854492
5	3	0.134277
5	4	-0.0854492
5	5	-0.0366211
5	6	0.0366211
5	7	0.158691
5	8	0.0610352
5	9	-0.012207
5	10	-0.0366211
5	11	-0.0366211
5	12	0.134277
5	13	-0.0366211
5	14	-0.012207
5	15	0.0610352
5	16	-0.158691
5	17	0.012207
5	18	-0.0854492
5	19	-0.0610352
5	20	-0.183105
5	21	-0.0610352
5	22	-0.0366211
5	23	-0.158691
5	24	-0.0366211
5	25	-0.134277
5	26	-0.0854492
5	27	-0.0366211
5	28	-0.20752
5	29	-0.183105
5	30	-0.20752
5	31	-0.0366211
5	32	-0.305176
5	33	-0.109863
5	34	-0.0610352
5	35	-0.280762
5	36	-0.0610352
5	37	-0.183105
5	38	-0.0366211
5	39	-0.0366211
5	40	-0.280762
5	41	-0.109863
5	42	-0.231934
5	43	-0.158691
5	44	-0.280762
5	45	-0.109863
5	46	0.0854492
5	47	-99.0112
6	0	-666
6	1	-0.0610352
6	2	0.0854492
6	3	0.0854492
6	4	-0.158691
6	5	0.0854492
6	6	-0.231934
6	7	-0.0366211
6	8	-0.158691
6	9	-0.012207
6	10	0.0366211
6	11	-0.0366211
6	12	-0.012207
6	13	0.158691
6	14	-99.0112
6	15	0.109863
6	16	-99.0112
6	17	0.0610352
6	18	-0.0366211
6	19	0.0366211
6	20	-0.109863
6	21	0.0854492
6	22	0.305176
6	23	0.20752
6	24	-0.012207
6	25	-0.0366211
6	26	0.0366211
6	27	0.0854492
6	28	0.012207
6	29	0.012207
6	30	0.012207
6	31	0.0854492
6	32	-0.0366211
6	33	-0.0366211
6	34	-0.134277
6	35	0.012207
6	36	0.109863
6	37	-0.012207
6	38	0.0610352
6	39	-0.0366211
6	40	-0.0366211
6	41	0.0366211
6	42	-0.0610352
6	43	0.158691
6	44	0.0854492
6	45	0.0610352
6	46	0.20752
6	47	-99.0112
7	0	-666
7	1	2.28271
7	2	2.35596
7	3	2.33154
7	4	2.23389
7	5	2.33154
7	6	2.28271
7	7	2.38037
7	8	2.11182
7	9	2.23389
7	10	2.30713
7	11	2.18506
7	12	2.16064
7	13	2.13623
7	14	2.16064
7	15	2.20947
7	16	2.03857
7	17	2.11182
7	18	2.0874
7	19	2.18506
7	20	2.06299
7	21	2.16064
7	22	2.2583
7	23	2.23389
7	24	1.94092
7	25	1.9165
7	26	2.03857
7	27	2.03857
7	28	1.94092
7	29	2.11182
7	30	1.89209
7	31	1.98975
7	32	2.03857
7	33	1.81885
7	34	1.86768
7	35	2.03857
7	36	2.06299
7	37	2.11182
7	38	2.0874
7	39	2.18506
7	40	1.96533
7	41	2.0874
7	42	1.96533
7	43	2.0874
7	44	2.03857
7	45	2.0874
7	46	2.0874
7	47	-99.0112
8	0	-666
8	1	6.39648
8	2	6.39648
8	3	6.5918
8	4	6.49414
8	5	6.68945
8	6	6.39648
8	7	6.5918
8	8	6.29883
8	9	6.39648
8	10	6.39648
8	11	6.20117
8	12	6.29883
8	13	6.29883
8	14	6.39648
8	15	6.39648
8	16	6.29883
8	17	6.49414
8	18	6.29883
8	19	6.39648
8	20	6.20117
8	21	6.39648
8	22	6.49414
8	23	6.39648
8	24	6.39648
8	25	6.29883
8	26	6.49414
8	27	6.49414
8	28	6.39648
8	29	6.49414
8	30	6.49414
8	31	6.68945
8	32	6.29883
8	33	6.39648
8	34	6.39648
8	35	6.49414
8	36	6.39648
8	37	6.29883
8	38	6.29883
8	39	6.49414
8	40	6.49414
8	41	6.39648
8	42	3.4668
8	43	6.39648
8	44	6.20117
8	45	6.39648
8	46	6.39648
8	47	-98.9746
9	0	-666
9	1	6.43311
9	2	6.40869
9	3	6.65283
9	4	6.48193
9	5	6.48193
9	6	6.50635
9	7	6.604
9	8	6.23779
9	9	6.35986
9	10	6.35986
9	11	6.26221
9	12	6.38428
9	13	6.45752
9	14	6.43311
9	15	6.48193
9	16	6.38428
9	17	6.45752
9	18	6.31104
9	19	6.45752
9	20	6.26221
9	21	6.43311
9	22	6.40869
9	23	6.40869
9	24	6.50635
9	25	6.35986
9	26	6.45752
9	27	6.65283
9	28	6.48193
9	29	6.50635
9	30	6.40869
9	31	6.55518
9	32	6.40869
9	33	6.45752
9	34	6.55518
9	35	6.48193
9	36	6.55518
9	37	6.62842
9	38	6.604
9	39	6.50635
9	40	6.48193
9	41	6.604
9	42	6.48193
9	43	6.48193
9	44	6.40869
9	45	6.43311
9	46	6.67725
9	47	-99.0112
10	0	-666
10	1	-0.012207
10	2	0.109863
10	3	0.109863
10	4	0.012207
10	5	0.012207
10	6	-0.0854492
10	7	-0.0854492
10	8	-0.0610352
10	9	-0.012207
10	10	-0.183105
10	11	-0.0610352
10	12	-0.0854492
10	13	-0.0366211
10	14	0.0610352
10	15	-0.012207
10	16	-0.0366211
10	17	0.109863
10	18	-0.0854492
10	19	-0.134277
10	20	-0.134277
10	21	0.0366211
10	22	0.0854492
10	23	0.0366211
10	24	0.0854492
10	25	0.012207
10	26	0.0366211
10	27	0.20752
10	28	0.109863
10	29	0.158691
10	30	0.134277
10	31	0.158691
10	32	0.256348
10	33	0.20752
10	34	0.0610352
10	35	0.183105
10	36	0.134277
10	37	0.158691
10	38	0.109863
10	39	0.256348
10	40	0.183105
10	41	0.280762
10	42	0.0854492
10	43	0.158691
10	44	-0.012207
10	45	0.0610352
10	46	0.158691
10	47	-99.0112
11	0	-666
11	1	-0.0610352
11	2	-0.0366211
11	3	-0.0610352
11	4	-0.134277
11	5	0.0366211
11	6	-0.183105
11	7	-0.0366211
11	8	-0.134277
11	9	0.012207
11	10	-0.0366211
11	11	0.012207
11	12	-0.109863
11	13	0.0854492
11	14	0.012207
11	15	0.0366211
11	16	-0.012207
11	17	0.0366211
11	18	-0.0610352
11	19	0.012207
11	20	-0.0366211
11	21	0.012207
11	22	0.109863
11	23	0.0610352
11	24	0.158691
11	25	0.158691
11	26	0.0366211
11	27	0.158691
11	28	0.0854492
11	29	0.109863
11	30	0.0854492
11	31	0.0854492
11	32	-0.0610352
11	33	-0.012207
11	34	-0.012207
11	35	0.0854492
11	36	0.0366211
11	37	0.183105
11	38	0.158691
11	39	0.256348
11	40	0.012207
11	41	0.0854492
11	42	0.0854492
11	43	0.158691
11	44	0.0610352
11	45	0.0854492
11	46	0.183105
11	47	-99.0112
12	0	-666
12	1	2.30713
12	2	2.20947
12	3	2.38037
12	4	2.20947
12	5	2.20947
12	6	2.40479
12	7	2.4292
12	8	2.20947
12	9	2.4292
12	10	2.23389
12	11	2.23389
12	12	2.23389
12	13	2.30713
12	14	2.16064
12	15	2.40479
12	16	2.23389
12	17	2.40479
12	18	2.2583
12	19	2.18506
12	20	2.0874
12	21	2.2583
12	22	2.23389
12	23	2.28271
12	24	1.96533
12	25	1.96533
12	26	2.03857
12	27	2.11182
12	28	1.96533
12	29	2.13623
12	30	1.94092
12	31	2.11182
12	32	2.03857
12	33	2.01416
12	34	2.03857
12	35	2.13623
12	36	2.03857
12	37	2.06299
12	38	2.01416
12	39	2.11182
12	40	1.96533
12	41	2.06299
12	42	1.96533
12	43	2.03857
12	44	1.94092
12	45	1.94092
12	46	2.03857
12	47	-99.0112
13	0	-666
13	1	6.5918
13	2	6.5918
13	3	6.68945
13	4	6.49414
13	5	6.5918
13	6	6.39648
13	7	6.49414
13	8	6.5918
13	9	6.49414
13	10	6.49414
13	11	6.78711
13	12	6.49414
13	13	6.5918
13	14	6.49414
13	15	6.68945
13	16	6.39648
13	17	6.68945
13	18	6.5918
13	19	6.49414
13	20	6.29883
13	21	6.68945
13	22	6.5918
13	23	6.49414
13	24	6.68945
13	25	6.68945
13	26	6.5918
13	27	6.78711
13	28	6.49414
13	29	6.49414
13	30	6.68945
13	31	6.5918
13	32	6.5918
13	33	6.5918
13	34	6.39648
13	35	6.49414
13	36	6.68945
13	37	6.68945
13	38	6.68945
13	39	6.49414
13	40	6.49414
13	41	6.49414
13	42	6.49414
13	43	6.5918
13	44	6.49414
13	45	6.68945
13	46	6.5918
13	47	-98.9746
14	0	-666
14	1	6.28662
14	2	6.31104
14	3	6.40869
14	4	6.40869
14	5	6.43311
14	6	6.21338
14	7	6.35986
14	8	6.55518
14	9	6.38428
14	10	6.35986
14	11	6.53076
14	12	6.40869
14	13	6.67725
14	14	6.57959
14	15	6.53076
14	16	6.33545
14	17	6.50635
14	18	6.43311
14	19	6.40869
14	20	6.33545
14	21	6.43311
14	22	6.38428
14	23	6.38428
14	24	6.40869
14	25	6.43311
14	26	6.35986
14	27	6.53076
14	28	6.38428
14	29	6.45752
14	30	6.43311
14	31	6.43311
14	32	6.50635
14	33	6.57959
14	34	6.38428
14	35	6.55518
14	36	6.40869
14	37	6.57959
14	38	6.45752
14	39	6.57959
14	40	6.53076
14	41	6.62842
14	42	6.50635
14	43	6.55518
14	44	6.45752
14	45	6.55518
14	46	6.62842
14	47	-99.0112
15	0	-666
15	1	-0.0366211
15	2	-0.0854492
15	3	0.0366211
15	4	-0.0366211
15	5	-0.0610352
15	6	0.183105
15	7	0.0610352
15	8	0.0366211
15	9	-0.0610352
15	10	-0.012207
15	11	-0.109863
15	12	0.012207
15	13	-0.0854492
15	14	0.012207
15	15	0.012207
15	16	-0.0610352
15	17	-0.0366211
15	18	-0.0366211
15	19	-0.012207
15	20	0.109863
15	21	-0.158691
15	22	-0.012207
15	23	-0.0610352
15	24	-0.0610352
15	25	-0.012207
15	26	0.012207
15	27	-0.109863
15	28	-0.012207
15	29	-0.0854492
15	30	0.134277
15	31	0.012207
15	32	0.134277
15	33	0.0610352
15	34	0.0610352
15	35	0.012207
15	36	0.0366211
15	37	-0.0610352
15	38	0.0610352
15	39	-0.0854492
15	40	0.109863
15	41	-0.0610352
15	42	0.0366211
15	43	0.0366211
15	44	0.109863
15	45	0.012207
15	46	-0.0366211
15	47	-99.0112
16	0	-666
16	1	-0.012207
16	2	-0.0854492
16	3	-0.109863
16	4	-0.0366211
16	5	-0.109863
16	6	0.109863
16	7	-0.012207
16	8	0.012207
16	9	-0.109863
16	10	-0.0366211
16	11	-0.158691
16	12	-0.109863
16	13	-0.109863
16	14	-0.109863
16	15	-0.134277
16	16	-0.012207
16	17	-0.109863
16	18	-0.0854492
16	19	0.0610352
16	20	0.0854492
16	21	-0.158691
16	22	-0.012207
16	23	-0.0366211
16	24	-0.109863
16	25	-0.0854492
16	26	0.0610352
16	27	-0.256348
16	28	-0.0610352
16	29	-0.0610352
