Plane	Strip	Shift
=====================================================
0	0	-666
0	1	-257.674
0	2	-207.211
0	3	-257.816
0	4	-257.677
0	5	-257.367
0	6	-257.996
0	7	-257.867
0	8	-257.604
0	9	-257.347
0	10	-257.638
0	11	-257.243
0	12	-256.603
0	13	-257.688
0	14	-257.492
0	15	-257.422
0	16	-257.59
0	17	-257.636
0	18	-257.414
0	19	-257.554
0	20	-257.719
0	21	-257.578
0	22	-257.711
0	23	-257.537
0	24	-257.888
0	25	-257.226
0	26	-258.106
0	27	-257.383
0	28	-257.559
0	29	-257.836
0	30	-257.836
0	31	-257.831
0	32	-257.784
0	33	-257.763
0	34	-257.554
0	35	-257.614
0	36	-257.493
0	37	-257.663
0	38	-257.718
0	39	-257.983
0	40	-257.671
0	41	-257.728
0	42	-257.867
0	43	-257.687
0	44	-257.661
0	45	-257.75
0	46	-257.773
0	47	-666
1	0	-666
1	1	-258.27
1	2	-258.3
1	3	-258.066
1	4	-257.976
1	5	-258.267
1	6	-257.841
1	7	-258.386
1	8	-258.497
1	9	-258.093
1	10	-258.109
1	11	-258.308
1	12	-258.023
1	13	-258.323
1	14	-258.419
1	15	-258.347
1	16	-258.023
1	17	-258.441
1	18	-258.197
1	19	-258.323
1	20	-258.145
1	21	-258.375
1	22	-258.717
1	23	-258.703
1	24	-258.164
1	25	-258.023
1	26	-257.811
1	27	-258.125
1	28	-257.924
1	29	-258.039
1	30	-258.109
1	31	-258.136
1	32	-257.948
1	33	-257.783
1	34	-257.996
1	35	-257.507
1	36	-257.817
1	37	-257.976
1	38	-258.019
1	39	-257.938
1	40	-257.823
1	41	-257.803
1	42	-257.912
1	43	-257.844
1	44	-257.992
1	45	-257.907
1	46	-258.007
1	47	-666
2	0	-666
2	1	-254.404
2	2	-254.041
2	3	-254.201
2	4	-254.242
2	5	-254.497
2	6	-254.299
2	7	-254.656
2	8	-254.477
2	9	-253.875
2	10	-254.175
2	11	-254.005
2	12	-254.258
2	13	-254.228
2	14	-253.292
2	15	-254.441
2	16	-254.539
2	17	-254.611
2	18	-254.226
2	19	-254.488
2	20	-254.414
2	21	-254.679
2	22	-254.691
2	23	-254.554
2	24	-254.257
2	25	-253.975
2	26	-253.992
2	27	-253.867
2	28	-253.859
2	29	-254.179
2	30	-252.617
2	31	-251.929
2	32	-253.934
2	33	-253.642
2	34	-253.816
2	35	-253.221
2	36	-253.923
2	37	-253.798
2	38	-254.012
2	39	-253.84
2	40	-253.769
2	41	-254.134
2	42	-253.922
2	43	-254.015
2	44	-254.048
2	45	-253.85
2	46	-254.179
2	47	-666
3	0	-666
3	1	-254.573
3	2	-254.479
3	3	-254.733
3	4	-254.601
3	5	-254.498
3	6	-254.673
3	7	-254.753
3	8	-254.264
3	9	-254.411
3	10	-254.229
3	11	-254.244
3	12	-254.333
3	13	-254.367
3	14	-254.309
3	15	-254.528
3	16	-254.536
3	17	-254.313
3	18	-254.091
3	19	-254.299
3	20	-254.434
3	21	-254.144
3	22	-254.714
3	23	-254.648
3	24	-255.101
3	25	-254.917
3	26	-253.856
3	27	-254.578
3	28	-254.148
3	29	-254.123
3	30	-254.158
3	31	-254.66
3	32	-254.231
3	33	-254.554
3	34	-254.414
3	35	-254.419
3	36	-254.461
3	37	-254.562
3	38	-254.533
3	39	-254.566
3	40	-254.598
3	41	-254.887
3	42	-254.703
3	43	-254.692
3	44	-254.25
3	45	-254.42
3	46	-254.842
3	47	-666
4	0	-666
4	1	-254.92
4	2	-255.095
4	3	-255.223
4	4	-254.859
4	5	-254.934
4	6	-254.804
4	7	-255.006
4	8	-255.036
4	9	-254.826
4	10	-254.852
4	11	-254.976
4	12	-255.139
4	13	-254.898
4	14	-254.716
4	15	-254.867
4	16	-254.889
4	17	-255.108
4	18	-255.029
4	19	-254.789
4	20	-254.836
4	21	-255.117
4	22	-254.882
4	23	-255.224
4	24	-255.351
4	25	-254.617
4	26	-255.004
4	27	-254.921
4	28	-254.398
4	29	-254.742
4	30	-254.728
4	31	-255.088
4	32	-254.874
4	33	-254.785
4	34	-254.666
4	35	-254.817
4	36	-254.861
4	37	-254.876
4	38	-254.856
4	39	-254.771
4	40	-254.929
4	41	-254.893
4	42	-254.754
4	43	-255.077
4	44	-254.593
4	45	-254.921
4	46	-254.906
4	47	-666
5	0	-666
5	1	-259.599
5	2	-259.195
5	3	-258.919
5	4	-259.162
5	5	-259.273
5	6	-259.273
5	7	-259.045
5	8	-259.336
5	9	-259.195
5	10	-259.148
5	11	-259.204
5	12	-258.898
5	13	-259.444
5	14	-259.204
5	15	-259.318
5	16	-259.476
5	17	-259.547
5	18	-259.504
5	19	-666
5	20	-259.657
5	21	-259.08
5	22	-259.336
5	23	-259.724
5	24	-259.364
5	25	-259.211
5	26	-259.198
5	27	-258.492
5	28	-259.086
5	29	-258.84
5	30	-259.269
5	31	-259.126
5	32	-259.179
5	33	-258.867
5	34	-259.023
5	35	-258.879
5	36	-258.654
5	37	-259.086
5	38	-258.125
5	39	-259.164
5	40	-259.222
5	41	-259.315
5	42	-259.446
5	43	-259.208
5	44	-259.554
5	45	-258.463
5	46	-259.204
5	47	-666
6	0	-666
6	1	-258.586
6	2	-258.679
6	3	-258.898
6	4	-259.054
6	5	-258.824
6	6	-259.422
6	7	-259.226
6	8	-259.007
6	9	-259.121
6	10	-258.56
6	11	-259.054
6	12	-258.89
6	13	-258.923
6	14	-666
6	15	-258.48
6	16	-666
6	17	-259.007
6	18	-259.054
6	19	-258.974
6	20	-258.388
6	21	-258.942
6	22	-259.117
6	23	-259.117
6	24	-258.836
6	25	-258.257
6	26	-258.57
6	27	-258.715
6	28	-258.325
6	29	-258.34
6	30	-258.268
6	31	-258.11
6	32	-258.792
6	33	-258.398
6	34	-258.422
6	35	-258.509
6	36	-258.492
6	37	-258.17
6	38	-258.508
6	39	-258.886
6	40	-258.784
6	41	-259.148
6	42	-258.023
6	43	-258.816
6	44	-258.197
6	45	-258.41
6	46	-258.377
6	47	-666
7	0	-666
7	1	-254.039
7	2	-253.679
7	3	-253.617
7	4	-253.915
7	5	-253.983
7	6	-254.029
7	7	-253.833
7	8	-254.132
7	9	-253.898
7	10	-252.848
7	11	-254.122
7	12	-254.226
7	13	-253.586
7	14	-254.142
7	15	-252.711
7	16	-254.423
7	17	-253.992
7	18	-253.523
7	19	-254.341
7	20	-254.248
7	21	-254.12
7	22	-253.945
7	23	-253.69
7	24	-254.554
7	25	-254.398
7	26	-254.099
7	27	-253.898
7	28	-254.268
7	29	-253.886
7	30	-254.186
7	31	-254.367
7	32	-253.59
7	33	-254.242
7	34	-254.095
7	35	-254.211
7	36	-254.168
7	37	-254.034
7	38	-253.728
7	39	-253.697
7	40	-253.554
7	41	-253.869
7	42	-253.804
7	43	-253.815
7	44	-253.786
7	45	-253.77
7	46	-254.054
7	47	-666
8	0	-666
8	1	-253.336
8	2	-254.461
8	3	-238.148
8	4	-55.3356
8	5	-253.711
8	6	-255.054
8	7	-254.367
8	8	-254.484
8	9	-254.156
8	10	-253.757
8	11	-253.992
8	12	-253.804
8	13	-254.39
8	14	-666
8	15	-252.867
8	16	-254.086
8	17	-254.601
8	18	-253.382
8	19	-254.929
8	20	-253.757
8	21	-253.617
8	22	-252.523
8	23	-254.367
8	24	-254.273
8	25	-254.336
8	26	-254.554
8	27	-252.804
8	28	-254.179
8	29	-666
8	30	-58.945
8	31	-666
8	32	-253.523
8	33	-253.945
8	34	-254.578
8	35	-253.289
8	36	-14.4606
8	37	-253.664
8	38	-103.57
8	39	-72.2575
8	40	-58.6169
8	41	-71.5544
8	42	-666
8	43	13.8519
8	44	-48.445
8	45	-254.648
8	46	-215.179
8	47	-666
9	0	-666
9	1	-253.851
9	2	-253.913
9	3	-253.804
9	4	-253.752
9	5	-253.617
9	6	-253.711
9	7	-254.161
9	8	-253.104
9	9	-253.992
9	10	-254.013
9	11	-253.932
9	12	-253.648
9	13	-253.429
9	14	-253.813
9	15	-666
9	16	-253.757
9	17	-254.032
9	18	-666
9	19	-253.862
9	20	-254.25
9	21	-253.814
9	22	-253.933
9	23	-250.547
9	24	-253.329
9	25	-253.711
9	26	-253.22
9	27	-252.886
9	28	-253.661
9	29	-253.424
9	30	-253.523
9	31	-253.336
9	32	-253.664
9	33	-253.502
9	34	-253.211
9	35	-253.632
9	36	-253.273
9	37	-253.28
9	38	-253.598
9	39	-253.583
9	40	-253.763
9	41	-253.781
9	42	-253.687
9	43	-253.336
9	44	-253.689
9	45	-253.566
9	46	-253.742
9	47	-666
10	0	-666
10	1	-258.398
10	2	-258.351
10	3	-258.268
10	4	-257.625
10	5	-257.735
10	6	-258.195
10	7	-258.386
10	8	-258.023
10	9	-257.992
10	10	-258.159
10	11	-255.632
10	12	-258.177
10	13	-258.093
10	14	-257.968
10	15	-258.14
10	16	-258.375
10	17	-258
10	18	-258.093
10	19	-258.336
10	20	-258.176
10	21	-258.098
10	22	-257.976
10	23	-257.804
10	24	-258.164
10	25	-258.108
10	26	-257.595
10	27	-258.086
10	28	-258.261
10	29	-258.248
10	30	-257.648
10	31	-258.179
10	32	-257.817
10	33	-258.222
10	34	-257.789
10	35	-257.563
10	36	-257.648
10	37	-258.044
10	38	-257.461
10	39	-258.128
10	40	-257.595
10	41	-258.19
10	42	-258.248
10	43	-257.992
10	44	-258.398
10	45	-258.023
10	46	-257.992
10	47	-666
11	0	-666
11	1	-258.726
11	2	-258.432
11	3	-258.539
11	4	-258.093
11	5	-258.586
11	6	-258.792
11	7	-258.764
11	8	-258.629
11	9	-258.177
11	10	-258.211
11	11	-258.167
11	12	-258.184
11	13	-258.028
11	14	-258.187
11	15	-258.438
11	16	-258.179
11	17	-257.911
11	18	-258.222
11	19	-258.445
11	20	-258.454
11	21	-258.559
11	22	-258.571
11	23	-258.492
11	24	-258.473
11	25	-258.023
11	26	-258.789
11	27	-258.273
11	28	-258.148
11	29	-258.483
11	30	-258.511
11	31	-258.458
11	32	-258.917
11	33	-258.449
11	34	-258.492
11	35	-258.548
11	36	-258.445
11	37	-258.454
11	38	-258.586
11	39	-257.367
11	40	-258.515
11	41	-666
11	42	-258.436
11	43	-258.331
11	44	-257.82
11	45	-258.345
11	46	-258.523
11	47	-666
12	0	-666
12	1	-254.179
12	2	-254.179
12	3	-254.26
12	4	-254.188
12	5	-254.148
12	6	-254.148
12	7	-253.929
12	8	-254.461
12	9	-666
12	10	-254.143
12	11	-254.112
12	12	-254.179
12	13	-254.242
12	14	-254.38
12	15	-254.289
12	16	-254.039
12	17	-254.091
12	18	-254.367
12	19	-253.925
12	20	-254.38
12	21	-254.626
12	22	-254.242
12	23	-254.226
12	24	-255.117
12	25	-255.237
12	26	-254.586
12	27	-254.695
12	28	-254.554
12	29	-254.423
12	30	-254.951
12	31	-254.626
12	32	-254.798
12	33	-254.578
12	34	-254.474
12	35	-254.246
12	36	-254.445
12	37	-254.226
12	38	-254.442
12	39	-254.461
12	40	-254.892
12	41	-254.367
12	42	-254.726
12	43	-254.495
12	44	-254.695
12	45	-254.492
12	46	-254.914
12	47	-666
13	0	-666
13	1	-255.429
13	2	-666
13	3	-255.211
13	4	-251.273
13	5	-253.617
13	6	-257.953
13	7	-254.179
13	8	-248.507
13	9	-253.804
13	10	-254.429
13	11	-253.992
13	12	-257.404
13	13	-248.367
13	14	-254.929
13	15	-255.273
13	16	-255.117
13	17	-22.7575
13	18	-253.336
13	19	-666
13	20	-254.179
13	21	-254.648
13	22	-58.3356
13	23	-40.1013
13	24	-116.648
13	25	-14.5075
13	26	-58.4762
13	27	-134.133
13	28	-253.617
13	29	-255.82
13	30	-666
13	31	-230.929
13	32	-250.898
13	33	-256.617
13	34	-107.695
13	35	-256.898
13	36	-255.211
13	37	-255.548
13	38	-251.179
13	39	-242.836
13	40	-32.2262
13	41	-242.179
13	42	-254.086
13	43	-254.554
13	44	-255.648
13	45	-58.8513
13	46	-257.086
13	47	-666
14	0	-666
14	1	-255.622
14	2	-255.142
14	3	-254.819
14	4	-255.377
14	5	-255.199
14	6	-255.329
14	7	-255.458
14	8	-255.051
14	9	-255.436
14	10	-255.257
14	11	-255.083
14	12	-255.286
14	13	-254.825
14	14	-254.83
14	15	-254.898
14	16	-255.425
14	17	-255.1
14	18	-255.083
14	19	-255.313
14	20	-255.216
14	21	-255.273
14	22	-255.245
14	23	-255.224
14	24	-255.117
14	25	-254.929
14	26	-255.82
14	27	-255.586
14	28	-255.717
14	29	-255.679
14	30	-255.623
14	31	-255.367
14	32	-255.645
14	33	-254.981
14	34	-255.336
14	35	-255.577
14	36	-255.117
14	37	-255.445
14	38	-255.736
14	39	-255.117
14	40	-255.726
14	41	-255.273
14	42	-255.472
14	43	-255.412
14	44	-255.492
14	45	-254.854
14	46	-255.351
14	47	-666
15	0	-666
15	1	-258.635
15	2	-258.637
15	3	-258.337
15	4	-258.426
15	5	-258.646
15	6	-257.987
15	7	-258.385
15	8	-257.812
15	9	-258.367
15	10	-258.279
15	11	-258.453
15	12	-258.358
15	13	-258.271
15	14	-258.434
15	15	-258.367
15	16	-258.32
15	17	-258.67
15	18	-258.574
15	19	-258.319
15	20	-258.273
15	21	-258.759
15	22	-258.586
15	23	-258.643
15	24	-258.257
15	25	-258.362
15	26	-258.242
15	27	-258.435
15	28	-258.29
15	29	-258.731
15	30	-258.462
15	31	-258.108
15	32	-258.469
15	33	-258.202
15	34	-258.202
15	35	-258.318
15	36	-258.149
15	37	-258.186
15	38	-258.266
15	39	-258.492
15	40	-258.257
15	41	-258.784
15	42	-258.406
15	43	-257.996
15	44	-258.117
15	45	-258.651
15	46	-258.578
15	47	-666
16	0	-666
16	1	-258.406
16	2	-258.146
16	3	-258.323
16	4	-258.202
16	5	-258.225
16	6	-258.492
16	7	-258.086
16	8	-258.117
16	9	-258.276
16	10	-258.152
16	11	-258.287
16	12	-258.037
16	13	-258.07
16	14	-258.252
16	15	-258.083
16	16	-258.066
16	17	-258.378
16	18	-258.278
16	19	-258.207
16	20	-258.117
16	21	-258.379
16	22	-258.345
16	23	-258.257
16	24	-258.829
16	25	-258.767
16	26	-258.603
16	27	-258.994
16	28	-258.887
16	29	-258.211
16	30	-258.78
16	31	-258.852
16	32	-258.478
16	33	-258.355
16	34	-258.724
16	35	-258.023
16	36	-258.117
16	37	-257.782
16	38	-258.48
16	39	-257.929
16	40	-258.492
16	41	-258.324
16	42	-258.117
16	43	-258.448
16	44	-258.536
16	45	-258.539
16	46	-258.853
16	47	-666
17	0	-666
17	1	-253.707
17	2	-253.753
17	3	-253.992
17	4	-253.605
17	5	-253.554
17	6	-253.511
17	7	-253.63
17	8	-253.403
17	9	-253.289
17	10	-253.403
17	11	-253.287
17	12	-253.307
17	13	-253.417
17	14	-253.559
17	15	-253.651
17	16	-253.476
17	17	-253.685
17	18	-253.438
17	19	-253.67
17	20	-253.662
17	21	-253.362
17	22	-253.983
17	23	-253.769
17	24	-254.086
17	25	-254.191
17	26	-253.856
