#bar  tdiff_offset[ns]  sync_offset[ns]  vscint[cm/ns] 
1     1.43889     -0.70356     8.29758
2     -0.772222     -0.65866     8.13752
3     -0.211111     -0.769578     7.93562
4     -0.788889     0.0103822     8.31739
5     -1.22778     0.169965     8.34545
6     1.88333     0.272411     7.77756
7     1.50556     -0.630539     8.20692
8     3.12778     -1.19816     8.273
9     -0.894444     0.103881     8.27511
10     0.244444     -0.0744402     8.49134
11     2.95     0.247224     8.39534
12     -2.63333     -0.874003     8.4721
13     -3.47778     -1.12135     8.61553
14     -2.11667     -1.39556     8.44479
15     2.02778     0.0727044     8.32458
16     -0.911111     -1.65196     8.4387
17     0.144444     0.196694     8.39802
18     -2.7     0.439879     8.30871
19     -2.95556     -0.723236     8.16507
20     1.77222     0.0231821     8.34001
21     0.483333     -0.726134     8.47439
22     -1.82778     -0.967555     8.24745
23     -9.68889     2.67695     8.34796
24     -7.52778     1.26513     8.30297
25     -7.73889     2.68127     8.20706
26     -7.41667     2.11903     8.32972
27     -6.93333     3.09     8.33422
28     -9.53889     1.74637     8.43482
29     -10.8667     2.91249     7.78261
30     -6.55556     3.44719     7.95588
31     -9.16111     2.41567     8.08177
32     -7.17222     3.54028     7.80893
33     -9.62778     1.6857     8.03646
34     -8.93889     3.5189     7.94632
35     -7.90556     2.53805     8.01883
36     -4.54444     1.70669     7.8753
37     -5.11111     1.05697     8.14277
38     -7.15556     2.85606     8.00977
39     0.522222     -0.919091     8.27209
40     -0.15     -1.64667     8.08365
41     0.85     0.236786     8.37234
42     1.28889     -0.474911     8.22171
43     -1     -0.701764     8.20269
44     1.03333     -1.00895     8.33722
45     1.15556     0.356159     8.07244
46     1.06667     -0.30629     7.97193
47     -2.21667     -1.60416     8.15966
48     1.25556     -2.6808     8.28407
49     -2.09444     0.778816     8.15308
50     -1.13333     0     8.17716
51     -0.138889     -0.342502     8.22344
52     -1.64444     -0.946909     8.3144
53     -0.25     -1.77837     8.16226
54     0.0222222     -0.795858     8.2485
55     -3.54444     -1.22697     8.31952
56     -1.53333     -1.80654     8.40703
57     -0.661111     -0.430403     8.11808
58     0.0611111     -0.732204     8.22025
59     0.572222     -1.01814     8.20041
60     0.5     -0.506346     8.28209
61     1.18333     0.352312     8.00773
62     -1.31111     1.27441     7.95549
63     -4.53889     4.04809     8.18908
64     -7.91667     4.58692     8.03155
65     -6.94444     3.86176     7.88386
66     -9.46111     3.60091     7.98025
67     -5.32778     4.04589     8.1661
68     -8.98333     4.41293     8.0138
69     -8.91667     0.281862     8.11808
70     -6.98889     -0.955338     8.22157
71     -9.06667     -0.83591     8.21462
72     -5.15     0.175166     8.12419
73     -7.25     -1.26655     8.13126
74     -8.14444     -0.0140695     8.23536
75     -6.57778     0.337429     7.82169
76     -6.80556     -1.14183     8.07519
77     -6.4     2.89083     8.0352
78     -7.76667     1.71484     8.23424
79     0.794444     -2.06968     8.28456
80     -0.677778     -2.19521     8.22867
81     0.538889     -9.68953     8.52762
82     4.37222     -9.86976     8.4514
83     -1.23333     -10.4758     8.56618
84     -1.56111     -10.8285     8.69235
85     2.86667     -10.3178     8.57631
86     0.488889     -10.1972     8.60394
87     -1.42222     -9.54809     8.62073
88     0.261111     -10.8995     8.65952
89     -1.70556     -9.10718     8.73265
90     0.494444     -10.5028     8.75262
91     -1.32222     -11.505     8.80232
92     2.45556     -8.83589     8.58297
93     -1.4     -9.87283     8.7332
94     -1.00556     -10.412     8.70153
95     -1.94444     -9.26538     8.63037
96     0.833333     -11.8192     8.86737
97     1.4     -10.315     8.52022
98     -2.50556     -10.7213     8.81949
99     -1.13333     -11.5572     8.76391
100     -0.794444     -10.852     8.58123
101     -0.516667     -9.95772     6.94458
102     -1.41667     -10.2024     6.8624
103     0.288889     -9.15105     6.91744
104     -1.75556     -8.9598     6.78741
105     0.0111111     -9.70269     6.84852
106     -1.97222     -10.9103     6.85688
107     0.472222     -11.939     6.7044
108     -0.783333     -10.5704     6.64509
109     -2.02222     -9.43727     6.96094
110     1.40556     -8.2671     6.83547
111     0.372222     -8.0458     6.89248
112     1.76111     -7.76659     6.93348
113     0.25     -7.7735     6.77109
114     -0.983333     -11.5643     7.07427
115     -0.972222     -12.2111     6.84645
116     -5.75     -9.01619     6.91415
117     0.0666667     -12.1942     6.72914
118     2.85     -9.63126     6.92725
119     0.0666667     -11.5596     6.80708
120     -0.911111     -12.5428     6.87429
